fea.net.0.weight                                        shape=(8, 3, 3, 3)                 numel=216
blocks.4.1.layer.0.fn.to_k.weight                       shape=(36, 48)                     numel=1728
blocks.4.1.layer.0.fn.to_v.weight                       shape=(48, 48)                     numel=2304
blocks.4.1.layer.0.fn.proj.weight                       shape=(48, 48)                     numel=2304
blocks.4.1.layer.1.norm.weight                          shape=(48,)                        numel=48
blocks.4.1.layer.1.norm.bias                            shape=(48,)                        numel=48
blocks.4.1.layer.1.fn.fc1.weight                        shape=(96, 48)                     numel=4608
blocks.4.1.layer.1.fn.fc1.bias                          shape=(96,)                        numel=96
blocks.4.1.layer.1.fn.dwconv.depthwise_conv.0.weight    shape=(96, 1, 5, 5)                numel=2400
blocks.4.1.layer.1.fn.dwconv.depthwise_conv.0.bias      shape=(96,)                        numel=96
blocks.4.1.layer.1.fn.fc2.weight                        shape=(48, 96)                     numel=4608
blocks.4.1.layer.1.fn.fc2.bias                          shape=(48,)                        numel=48
blocks.5.0.means                                        shape=(32, 48)                     numel=1536
blocks.5.0.initted                                      shape=()                           numel=1
blocks.5.0.norm.weight                                  shape=(48,)                        numel=48
blocks.5.0.norm.bias                                    shape=(48,)                        numel=48
blocks.5.0.mlp.norm.weight                              shape=(48,)                        numel=48
blocks.5.0.mlp.norm.bias                                shape=(48,)                        numel=48
blocks.5.0.mlp.fn.fc1.weight                            shape=(96, 48)                     numel=4608
blocks.5.0.mlp.fn.fc1.bias                              shape=(96,)                        numel=96
blocks.5.0.mlp.fn.dwconv.depthwise_conv.0.weight        shape=(96, 1, 5, 5)                numel=2400
blocks.5.0.mlp.fn.dwconv.depthwise_conv.0.bias          shape=(96,)                        numel=96
blocks.5.0.mlp.fn.fc2.weight                            shape=(48, 96)                     numel=4608
blocks.5.0.mlp.fn.fc2.bias                              shape=(48,)                        numel=48
blocks.5.0.irca_attn.to_k.weight                        shape=(36, 48)                     numel=1728
blocks.5.0.irca_attn.to_v.weight                        shape=(48, 48)                     numel=2304
blocks.5.0.iasa_attn.to_q.weight                        shape=(36, 48)                     numel=1728
blocks.5.0.iasa_attn.to_k.weight                        shape=(36, 48)                     numel=1728
blocks.5.0.iasa_attn.to_v.weight                        shape=(48, 48)                     numel=2304
blocks.5.0.iasa_attn.proj.weight                        shape=(48, 48)                     numel=2304
blocks.5.0.conv1x1.weight                               shape=(48, 48, 1, 1)               numel=2304
blocks.5.1.layer.0.norm.weight                          shape=(48,)                        numel=48
blocks.5.1.layer.0.norm.bias                            shape=(48,)                        numel=48
blocks.5.1.layer.0.fn.to_q.weight                       shape=(36, 48)                     numel=1728
blocks.5.1.layer.0.fn.to_k.weight                       shape=(36, 48)                     numel=1728
blocks.5.1.layer.0.fn.to_v.weight                       shape=(48, 48)                     numel=2304
blocks.5.1.layer.0.fn.proj.weight                       shape=(48, 48)                     numel=2304
blocks.5.1.layer.1.norm.weight                          shape=(48,)                        numel=48
blocks.5.1.layer.1.norm.bias                            shape=(48,)                        numel=48
blocks.5.1.layer.1.fn.fc1.weight                        shape=(96, 48)                     numel=4608
blocks.5.1.layer.1.fn.fc1.bias                          shape=(96,)                        numel=96
blocks.5.1.layer.1.fn.dwconv.depthwise_conv.0.weight    shape=(96, 1, 5, 5)                numel=2400
blocks.5.1.layer.1.fn.dwconv.depthwise_conv.0.bias      shape=(96,)                        numel=96
blocks.5.1.layer.1.fn.fc2.weight                        shape=(48, 96)                     numel=4608
blocks.5.1.layer.1.fn.fc2.bias                          shape=(48,)                        numel=48
blocks.6.0.means                                        shape=(64, 48)                     numel=3072
blocks.6.0.initted                                      shape=()                           numel=1
blocks.6.0.norm.weight                                  shape=(48,)                        numel=48
blocks.6.0.norm.bias                                    shape=(48,)                        numel=48
blocks.6.0.mlp.norm.weight                              shape=(48,)                        numel=48
blocks.6.0.mlp.norm.bias                                shape=(48,)                        numel=48
blocks.6.0.mlp.fn.fc1.weight                            shape=(96, 48)                     numel=4608
blocks.6.0.mlp.fn.fc1.bias                              shape=(96,)                        numel=96
blocks.6.0.mlp.fn.dwconv.depthwise_conv.0.weight        shape=(96, 1, 5, 5)                numel=2400
blocks.6.0.mlp.fn.dwconv.depthwise_conv.0.bias          shape=(96,)                        numel=96
blocks.6.0.mlp.fn.fc2.weight                            shape=(48, 96)                     numel=4608
blocks.6.0.mlp.fn.fc2.bias                              shape=(48,)                        numel=48
blocks.6.0.irca_attn.to_k.weight                        shape=(36, 48)                     numel=1728
blocks.6.0.irca_attn.to_v.weight                        shape=(48, 48)                     numel=2304
blocks.6.0.iasa_attn.to_q.weight                        shape=(36, 48)                     numel=1728
blocks.6.0.iasa_attn.to_k.weight                        shape=(36, 48)                     numel=1728
blocks.6.0.iasa_attn.to_v.weight                        shape=(48, 48)                     numel=2304
blocks.6.0.iasa_attn.proj.weight                        shape=(48, 48)                     numel=2304
blocks.6.0.conv1x1.weight                               shape=(48, 48, 1, 1)               numel=2304
blocks.6.1.layer.0.norm.weight                          shape=(48,)                        numel=48
blocks.6.1.layer.0.norm.bias                            shape=(48,)                        numel=48
blocks.6.1.layer.0.fn.to_q.weight                       shape=(36, 48)                     numel=1728
blocks.6.1.layer.0.fn.to_k.weight                       shape=(36, 48)                     numel=1728
blocks.6.1.layer.0.fn.to_v.weight                       shape=(48, 48)                     numel=2304
blocks.6.1.layer.0.fn.proj.weight                       shape=(48, 48)                     numel=2304
blocks.6.1.layer.1.norm.weight                          shape=(48,)                        numel=48
blocks.6.1.layer.1.norm.bias                            shape=(48,)                        numel=48
blocks.6.1.layer.1.fn.fc1.weight                        shape=(96, 48)                     numel=4608
blocks.6.1.layer.1.fn.fc1.bias                          shape=(96,)                        numel=96
